"","x"
"52","@blenster @integgroll @K3n_5s @bink I didn't think I had a favorite until I worked in Python for data science for a year and then got a job that wanted me to work in C#. All I want is to go back to Python... :("
"53","@DynamicWebPaige @JoshGhalgh i agree with you both haha. I think Jupyter Lab is in the same category as RStudio etc, though i don't think I'd call it an IDE, maybe an IDSE (integrated data science environment). I think it's worth emphasizing the order of priorities to be DS first, developing second"
"54","@DynamicWebPaige @JoshGhalgh i agree with you both haha. I think Jupyter Lab is in the same category as RStudio etc, though i don't think I'd call it an IDE, maybe an IDSE (integrated data science environment). I think it's worth emphasizing the order of priorities to be DS first, developing second"
"55","Model creation and deployment doesn’t need to be so difficult! Find out why your peers think we’re the best software for citizen data scientists. https://t.co/JzthaQ4AJI https://t.co/LSO0RS4Ec0"
"56","@tweet_dispencer I think the display was a one-off demonstration, but it was this Observatory:
https://t.co/DuPxQKr3Rq"
"57","#AI Gets the Glory but ML is Quietly Making Fortunes
When we think about the future of #data #science, it’s easy to get carried away. For a couple of decades now, if you bel ..
https://t.co/Mggu8vKXUN https://t.co/VuCYw7jXLf"
"58","No-code data science is easier than you think.  Learn how to start building models in minutes at our 3-day conference — completely free."
"59","Another one for @data_science_ie to think about. The moment of measurement is sometimes lost in the world of bigger, better (?) data. Truth matters - and can’t be found in the spreadsheet (or dataset) alone. https://t.co/tgGJuS8rgu"
"60","UP students,if you do internal transfer,do you transfer to first year of that degree? Because I don’t think I want to transfer to second year of data science..."
"61","As the Harvard Business Review recognised back in 2014, #data science is the new ‘sexy’ role on the block.

So when should you think about hiring a Data Scientist for your business? https://t.co/C11HomN7e3 https://t.co/XTiVotLUr3"
"62","Another one for @data_science_ie to think about. The moment of measurement is sometimes lost in the world of bigger, better (?) data. Truth matters - and can’t be found in the spreadsheet (or dataset) alone. https://t.co/tgGJuS8rgu"
